firm,date_review,job_title,current,location,overall rating,work life balance,culture values,diversity inclusion,career opportunities ,company benefits,senior mgmt,headline,status
Adecco,09-03-2018, Database Administrator,"Current Employee, less than 1 year",Kurnool,5,4,5,4,5,5,5,company is really good to work ,0
American-Express,2/26/2017, Data Analyst,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,5,4,4,4,4,3,Good Worklife balance  and projects,0
American-Express,5/24/2018, Data Engineer,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,2,3,4,3,4,2,Good Company to Work with,0
American-Express,08-05-2018, Data Analyst,"Current Employee, less than 1 year","Gurgaon, Haryana, Haryana",2,4,4,4,3,3,3,Some times peaceful and sometimes harsh,2
American-Express,11/25/2019, Senior Data Analyst,"Current Employee, more than 10 years","Gurgaon, Haryana, Haryana",5,5,5,4,5,5,5,One of the best employee centric company,0
American-Express,11/30/2019, Data Scientist,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",4,3,5,4,4,5,4,I have been part of Amex for the last 3 years. It was a good experience till this point.,0
American-Express,05-12-2020, Data Scientist,Current Employee,Bangalore,3,3,5,4,1,1,1,"good work environment, lot of outdoor activities",0
American-Express,5/24/2020, Senior Data Engineer,Current Employee,"Gurgaon, Haryana, Haryana",5,5,5,4,4,4,4,"Good work life balance, Decent Pay, Flexible working hours (Depends on your Project), Employee friendly policies, Job security",0
American-Express,8/26/2020, Database Engineer II,"Current Employee, less than 1 year",Bangalore,5,5,5,4,5,5,5,Great company to work with,0
American-Express,09-07-2020, Database Engineer,"Current Employee, less than 1 year","Gurgaon, Haryana, Haryana",5,5,5,5,5,5,5,the working environment is very good and ample support from seniors ,0
American-Express,09-11-2020, Data Scientist,"Current Employee, less than 1 year",Bangalore,5,5,5,5,5,5,4,Best company to work for,0
American-Express,9/13/2020, Data Analyst,Current Employee,"Gurgaon, Haryana, Haryana",5,5,5,5,5,3,5,"Employee centric, good work culture, work life balance",0
American-Express,11-12-2020, Senior Data Analyst,Current Employee,"Gurgaon, Haryana, Haryana",5,4,5,4,5,4,4,Best company to settle,0
American-Express,1/21/2021, Senior Data Analyst,Current Employee,"Gurgaon, Haryana, Haryana",5,5,4,5,4,4,5,Great work life balance over here,0
American-Express,2/17/2021, Data Analyst,"Current Employee, less than 1 year","Gurgaon, Haryana, Haryana",4,4,4,4,4,4,3,Good work culture and flexible timings,0
